Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
542369,,KTKFMP259RD,KOTAK FMP Series 259 - 1265 Days - Regular Plan - Dividend  Option,Active,F ,10.00,INF174KA1BN3, ,MF
542370,,KTKFMP259DG,KOTAK FMP Series 259 - 1265 Days - Direct Plan - Growth Option,Active,F ,10.00,INF174KA1BO1, ,MF
542371,,IPRU3275,ICICI Prudential Fixed Maturity Plan Series 85 - 1197 Days Plan A - Cumulative,Active,F ,10.00,INF109KC1SI5, ,MF
542372,,IPRU3276,ICICI Prudential Fixed Maturity Plan Series 85 - 1197 Days Plan A - Quarterly Dividend Payout,Active,F ,10.00,INF109KC1SJ3, ,MF
542373,,IPRU3277,ICICI Prudential Fixed Maturity Plan Series 85 - 1197 Days Plan A - Half Yearly Dividend Payout,Active,F ,10.00,INF109KC1SK1, ,MF
542374,,IPRU9477,ICICI Prudential Fixed Maturity Plan Series 85 - 1197 Days Plan A -  Direct  - Cumulative,Active,F ,10.00,INF109KC1SL9, ,MF
542375,,IPRU9478,ICICI Prudential Fixed Maturity Plan Series 85 - 1197 Days Plan A - Direct - Quarterly Dividend Pa,Active,F ,10.00,INF109KC1SM7, ,MF
542376,,SPACAPS,SPA Capital Services Ltd,Active,XT,10.00,INE726X01014,Other Financial Services,Equity
542377,,AARSHYAM,Aar Shyam India Investment Company Ltd,Active,XT,10.00,INE512R01010,Finance (including NBFCs),Equity
542378,,NXXXX12X,NIPPON INDIA MUTUAL FUND  FXD HRZ FD XXXX SR 12 DR DVP 30MY22,Active,F ,10.00,INF204KB1U77, ,MF
542379,,NXXXX12Z,NIPPON INDIA MUTUAL FUND  FXD HRZ FD XXXX SR 12 DR GWTH 30MY22,Active,F ,10.00,INF204KB1U69, ,MF
542380,,NXXXX12D,NIPPON INDIA MUTUAL FUND  FXD HRZ FD XXXX SR 12 RG DVP 30MY22,Active,F ,10.00,INF204KB1U51, ,MF
542381,,NXXXX12G,NIPPON INDIA MUTUAL FUND  FXD HRZ FD XXXX SR 12 RG GWTH30MY22,Active,F ,10.00,INF204KB1U44, ,MF
542382,,SDFSC40GR,SBI Debt Fund Series C-40 (1177Days) - Regular Plan - Growth Option,Active,F ,10.00,INF200KA1YW4, ,MF
542383,,RITCO,Ritco Logistics Ltd,Active,M ,10.00,INE01EG01016,Transportation - Logistics,Equity
542384,,SDFSC40DR,SBI Debt Fund Series C-40 (1177Days) - Regular Plan - Dividend Payout Option,Active,F ,10.00,INF200KA1YX2, ,MF
542385,,SDFSC40GD,SBI Debt Fund Series C-40 (1177Days) - Direct Plan - Growth Option,Active,F ,10.00,INF200KA1YY0, ,MF
542386,,SDFSC40DD,SBI Debt Fund Series C-40 (1177Days) - Direct Plan - Dividend Payout Option,Active,F ,10.00,INF200KA1YZ7, ,MF
542387,,IPRU3278,ICICI Prudential Fixed Maturity Plan Series 85 - 1178 days - Plan B - Cumulative Option,Active,F ,10.00,INF109KC1SO3, ,MF
542388,,IPRU3279,ICICI Prudential Fixed Maturity Plan Series 85 - 1178 days - Plan B - Quarterly Dividend Payout,Active,F ,10.00,INF109KC1SP0, ,MF
542389,,IPRU3280,ICICI Prudential Fixed Maturity Plan Series 85 - 1178 days - Plan B - Half Yearly Dividend Payout,Active,F ,10.00,INF109KC1SQ8, ,MF
542390,,IPRU9480,ICICI Prudential Fixed Maturity Plan Series 85 - 1178 days - Plan B - Direct Plan Cumulative Option,Active,F ,10.00,INF109KC1SR6, ,MF
542391,,IPRU9481,ICICI Prudential Fixed Maturity Plan Series 85 - 1178 days - Plan B - Direct Plan Quarterly Dividend,Active,F ,10.00,INF109KC1SS4, ,MF
542392,,IPRU9482,ICICI Prudential Fixed Maturity Plan Series 85 - 1178 days - Plan B - Direct Plan Half Yearly Divide,Active,F ,10.00,INF109KC1ST2, ,MF
542393,,H1168D43DG,HDFC FMP 1168D January 2019(1) - Series 43 - Direct Plan - Growth Option,Active,F ,10.00,INF179KC1247, ,MF
542394,,H1168D43DD,HDFC FMP 1168D January 2019(1) - Series 43 - Direct Plan - Normal Dividend Option,Active,F ,10.00,INF179KC1254, ,MF
542395,,H1168D43DQ,HDFC FMP 1168D January 2019(1) - Series 43 - Direct Plan - Quarterly Dividend Option,Active,F ,10.00,INF179KC1262, ,MF
542396,,H1168D43RG,HDFC FMP 1168D January 2019(1) - Series 43 - Regular Plan - Growth Option,Active,F ,10.00,INF179KC1270, ,MF
542397,,H1168D43RD,HDFC FMP 1168D January 2019(1) - Series 43 - Regular Plan - Normal Dividend Option,Active,F ,10.00,INF179KC1288, ,MF
542398,,H1168D43RQ,HDFC FMP 1168D January 2019(1) - Series 43 - Regular Plan - Quarterly Dividend Option,Active,F ,10.00,INF179KC1296, ,MF
542399,,CHALET,Chalet Hotels Ltd,Active,B ,10.00,INE427F01016,Hotels,Equity
542401,,NXXXX14X,NIPPON INDIA MUTUAL FUND  FXD HRZ FD XXXX SR 14DR DVP  02MY22,Active,F ,10.00,INF204KB1V50, ,MF
542402,,NXXXX14Z,NIPPON INDIA MUTUAL FUND  FXD HRZ FD XXXX SR 14DR GWTH 02MY22,Active,F ,10.00,INF204KB1V43, ,MF
542403,,NXXXX14D,NIPPON INDIA MUTUAL FUND  FXD HRZ FD XXXX SR 14RG DVP  02MY22,Active,F ,10.00,INF204KB1V35, ,MF
542404,,NXXXX14G,NIPPON INDIA MUTUAL FUND  FXD HRZ FD XXXX SR 14RG GWTH 02MY22,Active,F ,10.00,INF204KB1V27, ,MF
542405,,ABSLDAF2RG,Aditya Birla Sun Life Dual Advantage Fund - Series 2 - Regular Plan -  Growth Option,Active,F ,10.00,INF209KB1D93, ,MF
542406,,ABSLDAF2RN,Aditya Birla Sun Life Dual Advantage Fund - Series 2 - Regular Plan -  Dividend Payout Option,Active,F ,10.00,INF209KB1E01, ,MF
542407,,ABSLDAF2DG,Aditya Birla Sun Life Dual Advantage Fund - Series 2 - Direct Plan -  Growth Option,Active,F ,10.00,INF209KB1E19, ,MF
542408,,ABSLDAF2DN,Aditya Birla Sun Life Dual Advantage Fund - Series 2 - Direct Plan -  Dividend Payout Option,Active,F ,10.00,INF209KB1E27, ,MF
